250 pitch 66.22222222222223; amp 0.5572727272727273; tmpo 77.22222222222223; harmony 0.1; 
250 pitch 62.66666666666667; amp 0.5736363636363636; tmpo 81.66666666666666; harmony 0.1; 
250 pitch 62.66666666666667; amp 0.5163636363636364; tmpo 81.66666666666666; harmony 0.1; 
250 pitch 67.11111111111111; amp 0.6799999999999999; tmpo 76.11111111111111; harmony 0.1; 
250 pitch 63.55555555555556; amp 0.3690909090909091; tmpo 80.55555555555556; harmony 0.2; 
250 pitch 75.55555555555556; amp 0.5490909090909091; tmpo 65.55555555555556; harmony 0.3; 
250 pitch 74.22222222222223; amp 0.6063636363636363; tmpo 67.22222222222223; harmony 0.4; 
250 pitch 58.666666666666664; amp 0.5245454545454544; tmpo 86.66666666666667; harmony 0.5; 
250 pitch 60.888888888888886; amp 0.4754545454545454; tmpo 83.88888888888889; harmony 0.1; 
250 pitch 87.11111111111111; amp 0.6799999999999999; tmpo 51.11111111111111; harmony 0.1; 
250 pitch 74.66666666666667; amp 0.7454545454545454; tmpo 66.66666666666666; harmony 0.1; 
250 pitch 84.0; amp 0.7536363636363635; tmpo 55.0; harmony 0.2; 
250 pitch 76.44444444444444; amp 0.6799999999999999; tmpo 64.44444444444444; harmony 0.1; 
250 pitch 75.11111111111111; amp 0.5245454545454544; tmpo 66.11111111111111; harmony 0.1; 
250 pitch 77.33333333333334; amp 0.5490909090909091; tmpo 63.33333333333333; harmony 0.2; 
250 pitch 81.33333333333334; amp 0.639090909090909; tmpo 58.33333333333333; harmony 0.3; 
250 pitch 69.77777777777777; amp 0.5490909090909091; tmpo 72.77777777777777; harmony 0.4; 
250 pitch 74.22222222222223; amp 0.6881818181818182; tmpo 67.22222222222223; harmony 0.5; 
250 pitch 72.44444444444444; amp 0.5818181818181818; tmpo 69.44444444444444; harmony 0.1; 
250 pitch 71.11111111111111; amp 0.4509090909090908; tmpo 71.11111111111111; harmony 0.1; 
250 pitch 62.66666666666667; amp 0.49999999999999994; tmpo 81.66666666666666; harmony 0.1; 
250 pitch 69.77777777777777; amp 0.6145454545454545; tmpo 72.77777777777777; harmony 0.1; 
250 pitch 66.22222222222223; amp 0.4263636363636363; tmpo 77.22222222222223; harmony 0.1; 
250 pitch 68.0; amp 0.6309090909090909; tmpo 75.0; harmony 0.2; 
250 pitch 70.66666666666666; amp 0.5245454545454544; tmpo 71.66666666666667; harmony 0.3; 
250 pitch 74.22222222222223; amp 0.59; tmpo 67.22222222222223; harmony 0.1; 
250 pitch 78.22222222222223; amp 0.5736363636363636; tmpo 62.22222222222222; harmony 0.1; 
250 pitch 64.44444444444444; amp 0.46727272727272723; tmpo 79.44444444444444; harmony 0.1; 
250 pitch 63.55555555555556; amp 0.43454545454545446; tmpo 80.55555555555556; harmony 0.2; 
250 pitch 70.66666666666666; amp 0.6554545454545454; tmpo 71.66666666666667; harmony 0.3; 
250 pitch 74.22222222222223; amp 0.6718181818181818; tmpo 67.22222222222223; harmony 0.1; 
250 pitch 69.77777777777777; amp 0.5736363636363636; tmpo 72.77777777777777; harmony 0.1; 
250 pitch 69.77777777777777; amp 0.49999999999999994; tmpo 72.77777777777777; harmony 0.2; 
250 pitch 64.88888888888889; amp 0.49181818181818177; tmpo 78.88888888888889; harmony 0.1; 
250 pitch 66.22222222222223; amp 0.49181818181818177; tmpo 77.22222222222223; harmony 0.2; 
250 pitch 61.77777777777778; amp 0.4754545454545454; tmpo 82.77777777777777; harmony 0.1; 
250 pitch 59.55555555555556; amp 0.3363636363636363; tmpo 85.55555555555556; harmony 0.1; 
250 pitch 63.55555555555556; amp 0.2954545454545454; tmpo 80.55555555555556; harmony 0.1; 
250 pitch 63.55555555555556; amp 0.5245454545454544; tmpo 80.55555555555556; harmony 0.1; 
250 pitch 70.22222222222223; amp 0.5409090909090909; tmpo 72.22222222222223; harmony 0.2; 
